,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
16,Stargate Finance-STG,$0.8080,+12.12%,$408.6m,$30.0m,+13.59%,0.13%,0.07,+0.0046%,+0.0049%,$824.2k
17,Chainlink-LINK,$7.46,+5.95%,$394.6m,$119.5m,+13.42%,0.51%,0.30,+0.0059%,+0.0150%,$605.6k
18,Chiliz-CHZ,$0.1867,-2.06%,$364.5m,$76.7m,+3.29%,0.32%,0.21,+0.0068%,+0.0078%,$475.6k
19,Optimism-OP,$1.17,+0.74%,$320.0m,$58.6m,-1.93%,0.25%,0.18,+0.0084%,+0.0080%,$480.6k
20,Filecoin-FIL,$5.84,-0.59%,$298.7m,$104.0m,+1.57%,0.44%,0.35,+0.0088%,+0.0066%,$373.3k
21,Dogecoin-DOGE,$0.0608,-0.28%,$288.7m,$119.8m,+1.41%,0.51%,0.41,+0.0090%,+0.0108%,$381.9k
22,Curve DAO Token-CRV,$1.13,-2.81%,$282.6m,$59.1m,-5.26%,0.25%,0.21,-0.0034%,+0.0201%,$471.0k
23,STEPN-GMT,$0.6525,+0.25%,$230.1m,$104.0m,-1.81%,0.44%,0.45,+0.0077%,-0.0035%,$253.0k
24,1000SHIB-1000SHIB,$0.0122,-0.59%,$217.7m,$42.2m,+1.24%,0.18%,0.19,+0.0081%,+0.0100%,$318.2k
25,ApeCoin-APE,$4.49,+1.70%,$217.5m,$62.7m,-1.16%,0.27%,0.29,+0.0025%,+0.0018%,$366.6k
26,Terra Classic-LUNC,$0.0005,+13.87%,$212.9m,$32.3m,+334.81%,0.14%,0.15,-0.0278%,-0.2726%,$930.8k
27,Axie Infinity-AXS,$13.65,+0.09%,$210.8m,$78.1m,+0.60%,0.33%,0.37,-0.0167%,-0.0170%,$118.1k
28,The Sandbox-SAND,$0.9111,+0.84%,$191.4m,$72.2m,-1.05%,0.31%,0.38,+0.0044%,+0.0049%,$119.2k
29,Ethereum Name Service-ENS,$15.68,+5.97%,$175.9m,$38.1m,+32.22%,0.16%,0.22,+0.0021%,+0.0078%,$158.3k
30,SushiSwap-SUSHI,$1.32,+5.54%,$157.1m,$39.3m,+27.20%,0.17%,0.25,-0.0073%,-0.0009%,$202.6k
31,Fantom-FTM,$0.2528,-0.76%,$147.5m,$46.0m,-3.38%,0.20%,0.31,+0.0092%,+0.0066%,$55.3k
32,Tron-TRX,$0.0610,-0.87%,$142.3m,$142.0m,+0.13%,0.60%,1.00,-0.0179%,-0.0176%,$107.6k
33,Tellor-TRB,$16.12,-3.27%,$137.0m,$37.3m,-9.25%,0.16%,0.27,-0.0008%,-0.0119%,$132.4k
