,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
223,Midcap Index FTX-MID,"$1,321.40",-1.23%,$439.3k,$4.1m,-0.69%,0.02%,9.39,-0.0003%,-0.0009%,$0.0,2022-09-16 12:16:28.794092
224,Request-REQ,$0.1148,-2.16%,$357.0k,$299.6k,-16.67%,0.00%,0.84,+0.0475%,+0.0475%,$0.0,2022-09-16 12:16:28.794092
225,TrueFi-TRU,$0.0588,-4.37%,$345.3k,$2.6m,-4.36%,0.01%,7.67,-0.0040%,-0.0031%,$1.2k,2022-09-16 12:16:28.794092
226,Kishu Inu-KISHU,$0.0000,-5.49%,$345.1k,$347.1k,+0.53%,0.00%,1.01,-0.1940%,-0.1572%,$11.1k,2022-09-16 12:16:28.794092
227,Prometeus-PROM,$5.74,-3.10%,$320.2k,$621.7k,-7.42%,0.00%,1.94,-0.0307%,-0.0210%,$1.7k,2022-09-16 12:16:28.794092
228,Biswap-BSW,$0.2968,+0.20%,$290.9k,$1.0m,-3.82%,0.00%,3.48,-0.0202%,-0.0202%,$3.6k,2022-09-16 12:16:28.794092
229,UNUS SED LEO-LEO,$4.87,-5.05%,$254.6k,$610.8k,-6.85%,0.00%,2.40,+0.0052%,+0.0069%,$29.2,2022-09-16 12:16:28.794092
230,Green Satoshi Token-GST,$0.0337,+1.16%,$235.3k,$3.5m,+0.60%,0.02%,14.98,+0.0110%,-0.0181%,$1.3k,2022-09-16 12:16:28.794092
231,CEEK VR-CEEK,n/a,n/a,$214.7k,$311.0k,+0.96%,0.00%,1.45,+0.0100%,+0.0100%,$130.0,2022-09-16 12:16:28.794092
232,Step Finance-STEP,$0.0317,-9.16%,$197.0k,$318.2k,-18.96%,0.00%,1.62,+0.0118%,+0.0126%,$3.1k,2022-09-16 12:16:28.794092
233,BitTorrent-BTT,$0.0000,-3.00%,$181.3k,$604.5k,+2.23%,0.00%,3.33,-0.0385%,-0.0510%,$675.1,2022-09-16 12:16:28.794092
234,Star Atlas-ATLAS,$0.0050,-2.47%,$144.3k,$653.5k,-2.18%,0.00%,4.53,+0.0019%,+0.0063%,$1.2k,2022-09-16 12:16:28.794092
235,Mdex-MDX,$0.0667,-2.27%,$140.5k,$18.1k,+5.44%,0.00%,0.13,+0.0100%,+0.0100%,$233.8,2022-09-16 12:16:28.794092
236,Dragon Index FTX-DRGN,"$1,453.50",-1.23%,$138.3k,$547.8k,-3.34%,0.00%,3.96,-0.0055%,-0.0035%,$0.0,2022-09-16 12:16:28.794092
237,Uniswap Index FTX-UNISWAP,"$15,225.00",-4.40%,$115.2k,$1.2m,-3.68%,0.01%,10.58,-0.0129%,-0.0117%,$154.1,2022-09-16 12:16:28.794092
238,WAX-WAXP,$0.0912,+0.09%,$114.3k,$178.2k,-6.11%,0.00%,1.56,+0.0100%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
239,Alchemix-ALCX,$21.40,-0.52%,$108.0k,$452.2k,-1.32%,0.00%,4.18,-0.0204%,-0.0218%,$889.3,2022-09-16 12:16:28.794092
240,USD Coin-USDC,$1.0000,+0.03%,$106.8k,$1.1m,+0.04%,0.00%,10.50,+0.0000%,+0.0000%,$0.0,2022-09-16 12:16:28.794092
241,ETHPOW-ETHPOW,n/a,n/a,$103.0k,$169.7k,-49.27%,0.00%,1.65,n/a,n/a,$1.7k,2022-09-16 12:16:28.794092
242,Brazilian Digital Token-BRZ,$0.1896,-1.36%,$80.9k,$2.8m,-1.70%,0.01%,34.31,-0.0028%,+0.0005%,$0.0,2022-09-16 12:16:28.794092
243,Media Network-MEDIA,$7.36,-1.68%,$79.8k,$921.4k,+1.31%,0.00%,11.55,-0.0015%,+0.0169%,$1.6k,2022-09-16 12:16:28.794092
244,Umee-UMEE,$0.0116,-0.94%,$75.1k,$175.0k,-0.35%,0.00%,2.33,-0.0063%,+0.0116%,$2.1k,2022-09-16 12:16:28.794092
245,Dawn Protocol-DAWN,$0.8005,-1.48%,$71.4k,$106.6k,-0.93%,0.00%,1.49,-0.0074%,+0.0005%,$0.0,2022-09-16 12:16:28.794092
246,RSS3-RSS3,n/a,n/a,$58.9k,$534.7k,-5.14%,0.00%,9.08,+0.0100%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
247,Mango-MNGO,$0.0421,+0.72%,$55.2k,$245.6k,-6.56%,0.00%,4.45,-0.0119%,+0.0109%,$0.4,2022-09-16 12:16:28.794092
248,SUN-SUN,$0.0060,-0.41%,$46.3k,$343.8k,-0.19%,0.00%,7.43,+0.0100%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
249,Creditcoin-CTC,n/a,n/a,$44.2k,$108.4k,+2.49%,0.00%,2.45,+0.0100%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
250,Eden-EDEN,$0.0980,-2.00%,$33.1k,$268.9k,-5.89%,0.00%,8.13,+0.0329%,+0.0214%,$452.3,2022-09-16 12:16:28.794092
251,MAPS-MAPS,$0.1470,-1.34%,$26.4k,$339.2k,-2.48%,0.00%,12.87,-0.0084%,-0.0058%,$1.1k,2022-09-16 12:16:28.794092
252,BiLira-TRYB,$0.0540,-0.02%,$23.1k,$1.2m,+0.62%,0.01%,53.92,-0.0057%,-0.0023%,$47.8,2022-09-16 12:16:28.794092
253,Star Atlas DAO-POLIS,$0.3510,-1.35%,$21.7k,$272.6k,-1.25%,0.00%,12.54,-0.0029%,-0.0024%,$2.4k,2022-09-16 12:16:28.794092
254,MobileCoin-MOB,$0.9477,-2.48%,$18.8k,$384.4k,-3.44%,0.00%,20.42,+0.0023%,+0.0026%,$176.3,2022-09-16 12:16:28.794092
255,Oxygen-OXY,$0.0508,-0.61%,$15.8k,$421.1k,-0.23%,0.00%,26.58,-0.0161%,-0.0160%,$355.7,2022-09-16 12:16:28.794092
256,Wallstreetbets.com-WSB,$0.0024,+0.00%,$3.6,$57.9,+0.10%,0.00%,15.90,n/a,n/a,$1.6,2022-09-16 12:16:28.794092
